LocationAbbr,LocationDesc,YearStart,current_smoking_adults,diabetes_adults,high_blood_pressure_adults,high_cholesterol_screened_adults,lack_health_insurance_adults_18_64,no_leisure_physical_activity_adults,obesity_adults,routine_checkup_past_year_adults,diabetes_next_year,high_risk_diabetes_next_year,diabetes_high_risk_threshold,diabetes_previous_year,diabetes_change_from_previous_year
LA,Louisiana,2020,18.9,12.9,,,13.8,28.2,38.3,77.0,12.5,1.0,11.0,11.5,1.4000000000000004
LA,Louisiana,2021,20.1,12.5,58.4,33.4,7.6,28.3,38.7,78.2,13.3,1.0,11.3,12.9,-0.40000000000000036
MA,Massachusetts,2019,12.4,7.5,42.8,26.9,7.5,26.0,25.4,80.5,7.7,0.0,10.95,,
MA,Massachusetts,2020,11.4,7.7,,,6.3,19.4,24.5,78.3,7.9,0.0,11.0,7.5,0.20000000000000018
MA,Massachusetts,2021,10.8,7.9,45.8,31.0,3.5,20.6,27.5,74.6,9.2,0.0,11.3,7.7,0.20000000000000018
MD,Maryland,2019,13.0,9.9,51.2,31.4,12.0,23.0,32.0,79.0,9.2,0.0,10.95,,
MD,Maryland,2020,11.1,9.2,,,11.6,20.6,30.9,75.7,9.8,0.0,11.0,9.9,-0.7000000000000011
MD,Maryland,2021,10.2,9.8,50.9,33.3,9.4,21.2,34.2,73.5,10.6,0.0,11.3,9.2,0.6000000000000014
ME,Maine,2019,19.1,8.8,48.4,28.0,14.1,29.5,31.4,74.6,8.3,0.0,10.95,,
ME,Maine,2020,18.0,8.3,,,12.0,19.7,31.3,77.2,8.2,0.0,11.0,8.8,-0.5
ME,Maine,2021,16.9,8.2,45.8,27.7,7.7,24.8,32.1,76.5,9.1,0.0,11.3,8.3,-0.10000000000000142
MI,Michigan,2019,19.6,9.7,51.0,29.7,11.1,24.6,35.8,78.6,10.7,0.0,10.95,,
MI,Michigan,2020,19.3,10.7,,,8.5,20.2,35.3,75.0,9.5,0.0,11.0,9.7,1.0
MI,Michigan,2021,17.9,9.5,49.8,31.6,6.4,22.2,34.6,75.3,10.0,0.0,11.3,10.7,-1.1999999999999993
MN,Minnesota,2019,15.0,7.9,44.1,25.4,10.0,19.7,30.0,72.5,7.9,0.0,10.95,,
MN,Minnesota,2020,14.3,7.9,,,10.1,18.7,30.6,70.2,8.0,0.0,11.0,7.9,0.0
MN,Minnesota,2021,13.9,8.0,43.9,26.2,6.4,19.6,32.4,67.9,9.0,0.0,11.3,7.9,0.09999999999999964
MO,Missouri,2019,20.5,9.1,46.1,30.1,16.8,29.6,34.6,75.4,9.5,0.0,10.95,,
MO,Missouri,2020,18.6,9.5,,,16.2,24.9,34.2,73.2,10.0,0.0,11.0,9.1,0.40000000000000036
MO,Missouri,2021,18.1,10.0,51.0,30.7,12.4,24.2,37.6,74.7,10.2,0.0,11.3,9.5,0.5
MS,Mississippi,2019,21.2,13.5,62.0,31.9,22.0,36.9,41.2,77.5,13.3,1.0,10.95,,
MS,Mississippi,2020,20.7,13.3,,,22.2,28.9,39.9,77.1,13.8,1.0,11.0,13.5,-0.1999999999999993
MS,Mississippi,2021,20.3,13.8,63.7,32.8,13.5,30.2,39.4,78.2,13.9,1.0,11.3,13.3,0.5
MT,Montana,2019,17.5,6.4,42.3,24.6,12.3,18.6,28.0,70.5,7.8,0.0,10.95,,
MT,Montana,2020,17.5,7.8,,,11.6,18.0,28.9,68.1,7.7,0.0,11.0,6.4,1.3999999999999995
MT,Montana,2021,15.3,7.7,42.8,24.8,9.4,19.9,31.8,68.4,7.1,0.0,11.3,7.8,-0.09999999999999964
NC,North Carolina,2019,19.2,10.7,51.8,30.5,19.4,25.9,34.0,77.6,11.1,1.0,10.95,,
NC,North Carolina,2020,17.0,11.1,,,19.3,21.9,33.6,78.7,11.2,1.0,11.0,10.7,0.40000000000000036
NC,North Carolina,2021,15.0,11.2,52.4,31.4,13.7,21.6,36.4,77.8,10.8,0.0,11.3,11.1,0.09999999999999964
ND,North Dakota,2019,17.5,8.3,46.9,24.4,9.0,27.9,35.8,71.3,9.4,0.0,10.95,,
ND,North Dakota,2020,17.9,9.4,,,10.3,24.6,33.6,69.2,8.9,0.0,11.0,8.3,1.0999999999999996
ND,North Dakota,2021,15.9,8.9,47.7,29.0,7.5,25.3,35.7,71.3,9.0,0.0,11.3,9.4,-0.5
NE,Nebraska,2019,15.2,9.2,47.0,26.6,17.5,26.6,34.3,71.5,9.0,0.0,10.95,,
NE,Nebraska,2020,14.5,9.0,,,15.2,21.0,34.0,71.4,8.7,0.0,11.0,9.2,-0.1999999999999993
NE,Nebraska,2021,13.9,8.7,48.1,29.3,10.5,23.5,36.3,71.8,9.8,0.0,11.3,9.0,-0.3000000000000007
NH,New Hampshire,2019,16.8,8.1,43.7,27.9,10.7,21.1,32.1,76.4,7.5,0.0,10.95,,
NH,New Hampshire,2020,14.7,7.5,,,9.8,18.6,30.5,72.5,7.3,0.0,11.0,8.1,-0.5999999999999996
NH,New Hampshire,2021,12.7,7.3,42.9,27.4,6.7,19.2,31.2,73.1,8.2,0.0,11.3,7.5,-0.20000000000000018
NJ,New Jersey,2020,11.1,8.7,,,14.6,20.2,27.7,75.8,8.8,0.0,11.0,,
NJ,New Jersey,2021,10.8,8.8,46.4,33.2,11.4,23.4,28.3,75.1,9.5,0.0,11.3,8.7,0.10000000000000142
NM,New Mexico,2019,16.6,11.1,46.4,26.6,14.3,24.8,32.2,68.2,11.2,1.0,10.95,,
NM,New Mexico,2020,16.9,11.2,,,14.6,22.5,31.7,68.2,12.0,1.0,11.0,11.1,0.09999999999999964
NM,New Mexico,2021,14.2,12.0,47.3,30.4,10.1,22.2,35.4,60.8,11.2,0.0,11.3,11.2,0.8000000000000007
NV,Nevada,2019,15.6,10.0,48.6,30.7,20.7,25.6,30.5,70.3,10.0,0.0,10.95,,
NV,Nevada,2020,14.1,10.0,,,19.2,24.9,28.1,66.2,10.3,0.0,11.0,10.0,0.0
NV,Nevada,2021,15.3,10.3,47.4,32.1,14.5,23.4,31.5,70.0,8.8,0.0,11.3,10.0,0.3000000000000007
NY,New York,2019,13.0,9.5,45.5,28.8,13.6,27.0,27.2,79.7,9.2,0.0,10.95,,
NY,New York,2020,12.3,9.2,,,12.7,25.2,26.5,78.6,10.2,0.0,11.0,9.5,-0.3000000000000007
NY,New York,2021,12.4,10.2,47.0,32.1,7.7,25.3,29.0,77.6,10.0,0.0,11.3,9.2,1.0
OH,Ohio,2019,21.8,10.4,49.2,28.0,11.9,27.6,34.6,76.3,11.0,1.0,10.95,,
OH,Ohio,2020,20.2,11.0,,,11.7,23.5,35.8,75.1,11.0,1.0,11.0,10.4,0.5999999999999996
OH,Ohio,2021,18.8,11.0,51.0,30.1,8.3,24.7,37.9,75.0,11.4,1.0,11.3,11.0,0.0
OK,Oklahoma,2019,19.4,11.2,57.7,31.8,19.3,33.4,37.1,75.2,12.0,1.0,10.95,,
OK,Oklahoma,2020,19.6,12.0,,,19.7,27.9,37.1,74.9,11.8,1.0,11.0,11.2,0.8000000000000007
OK,Oklahoma,2021,17.5,11.8,56.6,31.9,14.6,27.3,40.0,71.9,12.2,1.0,11.3,12.0,-0.1999999999999993
OR,Oregon,2019,14.9,7.5,45.1,25.9,13.1,23.5,28.8,71.6,8.4,0.0,10.95,,
OR,Oregon,2020,13.6,8.4,,,11.5,17.6,28.3,71.9,8.4,0.0,11.0,7.5,0.9000000000000004
OR,Oregon,2021,12.7,8.4,45.1,27.2,8.2,19.6,30.6,65.6,9.1,0.0,11.3,8.4,0.0
PA,Pennsylvania,2019,18.0,9.3,48.4,28.4,10.8,24.6,33.1,77.6,9.9,0.0,10.95,,
PA,Pennsylvania,2020,16.7,9.9,,,10.5,23.4,31.6,77.8,9.5,0.0,11.0,9.3,0.5999999999999996
PA,Pennsylvania,2021,14.9,9.5,48.6,28.8,6.9,23.1,33.3,74.6,10.1,0.0,11.3,9.9,-0.40000000000000036
RI,Rhode Island,2019,13.8,9.1,47.5,28.8,10.8,26.0,30.1,82.7,9.2,0.0,10.95,,
RI,Rhode Island,2020,14.1,9.2,,,8.7,22.9,30.6,82.6,9.2,0.0,11.0,9.1,0.09999999999999964
RI,Rhode Island,2021,12.9,9.2,48.3,29.5,7.0,23.7,30.6,79.6,10.2,0.0,11.3,9.2,0.0
SC,South Carolina,2019,18.4,11.7,55.4,31.4,17.5,28.5,35.5,77.6,12.1,1.0,10.95,,
SC,South Carolina,2020,19.1,12.1,,,18.2,25.6,36.7,77.2,12.1,1.0,11.0,11.7,0.40000000000000036
SC,South Carolina,2021,16.3,12.1,54.4,32.0,14.1,24.0,36.4,76.0,11.1,0.0,11.3,12.1,0.0
SD,South Dakota,2019,19.0,9.3,45.9,24.2,15.1,28.9,33.1,72.6,7.0,0.0,10.95,,
SD,South Dakota,2020,19.0,7.0,,,12.9,21.6,33.4,74.2,9.6,0.0,11.0,9.3,-2.3000000000000007
SD,South Dakota,2021,16.3,9.6,47.6,30.4,8.9,22.4,38.9,74.0,8.1,0.0,11.3,7.0,2.5999999999999996
TN,Tennessee,2019,20.8,12.2,56.3,31.4,18.1,29.0,36.6,77.0,12.8,1.0,10.95,,
TN,Tennessee,2020,19.7,12.8,,,16.4,23.6,35.8,73.8,12.3,1.0,11.0,12.2,0.6000000000000014
TN,Tennessee,2021,20.2,12.3,54.9,33.4,11.6,27.4,35.5,76.8,13.1,1.0,11.3,12.8,-0.5
TX,Texas,2019,14.9,11.9,52.1,32.1,28.3,26.9,34.1,73.3,12.2,1.0,10.95,,
TX,Texas,2020,13.3,12.2,,,29.0,25.4,35.8,72.0,11.2,1.0,11.0,11.9,0.29999999999999893
TX,Texas,2021,13.3,11.2,51.1,32.8,24.0,24.9,36.2,68.9,13.4,1.0,11.3,12.2,-1.0
UT,Utah,2019,7.9,8.4,43.6,27.8,14.7,18.7,29.9,69.8,8.6,0.0,10.95,,
UT,Utah,2020,8.3,8.6,,,13.7,16.3,29.3,69.0,8.3,0.0,11.0,8.4,0.1999999999999993
UT,Utah,2021,7.3,8.3,43.1,29.4,10.3,17.5,31.6,69.8,9.1,0.0,11.3,8.6,-0.29999999999999893
VA,Virginia,2019,14.3,9.9,51.1,29.0,13.3,24.8,31.8,78.9,9.9,0.0,10.95,,
VA,Virginia,2020,13.9,9.9,,,14.0,20.4,32.4,76.0,10.2,0.0,11.0,9.9,0.0
VA,Virginia,2021,12.9,10.2,52.0,33.8,7.2,20.4,34.2,75.1,11.3,1.0,11.3,9.9,0.29999999999999893
VT,Vermont,2019,16.2,7.4,42.8,24.6,7.3,19.3,27.1,72.8,6.8,0.0,10.95,,
VT,Vermont,2020,14.4,6.8,,,8.6,17.1,26.3,69.2,7.2,0.0,11.0,7.4,-0.6000000000000005
VT,Vermont,2021,16.1,7.2,42.2,26.4,6.2,16.4,29.4,68.9,7.0,0.0,11.3,6.8,0.40000000000000036
WA,Washington,2019,12.9,8.6,45.8,27.6,12.0,18.9,28.2,70.6,7.9,0.0,10.95,,
WA,Washington,2020,11.6,7.9,,,11.4,17.5,28.0,69.4,7.9,0.0,11.0,8.6,-0.6999999999999993
WA,Washington,2021,10.8,7.9,44.2,29.1,8.0,17.5,28.7,65.4,8.8,0.0,11.3,7.9,0.0
WI,Wisconsin,2019,16.2,7.5,46.0,28.6,11.5,22.3,34.3,74.2,7.7,0.0,10.95,,
WI,Wisconsin,2020,16.1,7.7,,,9.5,19.8,32.7,72.2,8.0,0.0,11.0,7.5,0.20000000000000018
WI,Wisconsin,2021,13.8,8.0,47.9,30.6,6.0,19.3,33.5,71.5,8.9,0.0,11.3,7.7,0.2999999999999998
WV,West Virginia,2019,25.9,13.2,59.4,33.2,11.7,29.5,39.7,77.8,13.3,1.0,10.95,,
WV,West Virginia,2020,24.0,13.3,,,10.6,27.4,39.6,79.4,13.3,1.0,11.0,13.2,0.10000000000000142
WV,West Virginia,2021,24.1,13.3,58.0,33.8,8.5,28.2,41.0,75.9,14.6,1.0,11.3,13.3,0.0
WY,Wyoming,2019,18.9,6.8,45.5,24.1,19.9,24.0,29.6,66.7,7.6,0.0,10.95,,
WY,Wyoming,2020,19.4,7.6,,,18.4,21.6,30.6,67.0,7.7,0.0,11.0,6.8,0.7999999999999998
WY,Wyoming,2021,17.1,7.7,42.2,27.2,17.0,22.2,32.2,66.2,8.1,0.0,11.3,7.6,0.10000000000000053
